Tienda,Ticket,Material,Grupo art.,Denominacion 2 del gr.articulos,Producto,Venta,Fecha Vta,Hora Vta,Cantidad,UMB
TIENDA 1,2133617,2200063,440204,Lacteos y Embutidos - Lacteos - Batido,Producto 1,23.46,01/06/2024,00:03:17,1,PZ
TIENDA 1,2133618,2200563,440202,Lacteos y Embutidos - Lacteos - Bebible,Producto 2,31.62,01/06/2024,00:06:18,1,PZ
TIENDA 1,2133618,2000000,4002,Hielo - Hielo,Producto 3,31.62,01/06/2024,00:06:18,1,PZ
TIENDA 1,2133618,1100546,220604,Abarrotes - No Comestible - Desechables,Producto 4,86.17,01/06/2024,00:06:18,1,PZ
TIENDA 1,2133619,2500358,5006,Pan y Galletas - Galletas,Producto 5,23.61,01/06/2024,00:07:42,2,PZ
TIENDA 1,2133619,2500358,5006,Pan y Galletas - Galletas,Producto 5,14.17,01/06/2024,00:07:42,1,PZ
TIENDA 1,2133619,2800186,560406,Recargas - Datos - Telcel Paquete,Producto 6,175.86,01/06/2024,00:07:42,1,SER
TIENDA 1,2133620,1300311,260206,Agua - Natural - Ciel,Producto 7,19.38,01/06/2024,00:08:12,1,PZ
TIENDA 1,2133620,4200171,8404,Bebidas Frias - Frappes,Producto 8,30.77,01/06/2024,00:08:12,1,PZ
TIENDA 1,2133621,1400273,280602,Bebidas - Isotonicos - Isotonicos,Producto 9,32.98,01/06/2024,00:09:16,1,PZ
TIENDA 1,2133622,3000059,600202,Refrescos - Coca Cola - Colas,Producto 10,14.5,01/06/2024,00:10:54,1,PZ
TIENDA 1,2133622,4300951,8616,Comida Rapida - Roller,Producto 11,57.6,01/06/2024,00:10:54,2,PZ
TIENDA 1,2133623,1400034,280602,Bebidas - Isotonicos - Isotonicos,Producto 12,30.77,01/06/2024,00:11:46,1,PZ
TIENDA 1,2133623,1400086,280402,Bebidas - Energizantes - Energizantes,Producto 13,47.04,01/06/2024,00:11:46,1,PZ
TIENDA 1,2133623,1400086,280402,Bebidas - Energizantes - Energizantes,Producto 13,47.04,01/06/2024,00:11:46,1,PZ
TIENDA 1,2133624,1400039,280602,Bebidas - Isotonicos - Isotonicos,Producto 14,23.75,01/06/2024,00:13:44,1,PZ
TIENDA 1,2133624,1400650,280602,Bebidas - Isotonicos - Isotonicos,Producto 15,25.5,01/06/2024,00:13:44,1,PZ
TIENDA 1,2133625,1103190,220210,Abarrotes - Comestibles - Canasta Basica,Producto 16,62.22,01/06/2024,00:15:03,1,PZ
TIENDA 1,2133626,1703370,3404,Dulces - Goma De Mascar,Producto 17,13.19,01/06/2024,00:21:01,1,PZ
TIENDA 1,2133626,1703370,3404,Dulces - Goma De Mascar,Producto 17,13.19,01/06/2024,00:21:01,1,PZ
TIENDA 1,2133627,1400300,280402,Bebidas - Energizantes - Energizantes,Producto 18,19.79,01/06/2024,00:38:28,1,PZ
TIENDA 1,2133627,1400300,280402,Bebidas - Energizantes - Energizantes,Producto 18,19.79,01/06/2024,00:38:28,1,PZ
TIENDA 1,2133627,2300000,4602,Mascotas - Alimento Perros,Producto 19,127.5,01/06/2024,00:38:28,1,PZ
TIENDA 1,2133627,1801664,3602,Farmacia - Medicamentos,Producto 20,163.2,01/06/2024,00:38:28,1,PZ
TIENDA 1,2133628,2200140,440214,Lacteos y Embutidos - Lacteos - Leche Uht,Producto 21,28.56,01/06/2024,00:49:38,1,PZ
TIENDA 1,2133628,2200131,440214,Lacteos y Embutidos - Lacteos - Leche Uht,Producto 22,31.62,01/06/2024,00:49:38,1,PZ
TIENDA 1,2133629,1300052,260202,Agua - Natural - Bonafont,Producto 23,20.4,01/06/2024,00:53:12,1,PZ
TIENDA 1,2133629,3000176,600402,Refrescos - Pepsi - Colas,Producto 24,11,01/06/2024,00:53:12,1,PZ
TIENDA 1,2133629,2502141,5006,Pan y Galletas - Galletas,Producto 25,30.22,01/06/2024,00:53:12,1,PZ
TIENDA 1,2133630,3000010,600206,Refrescos - Coca Cola - Mineral,Producto 26,21.98,01/06/2024,00:54:43,1,PZ
TIENDA 1,2133631,2000000,4002,Hielo - Hielo,Producto 3,31.62,01/06/2024,00:57:29,1,PZ
TIENDA 1,2133631,1500566,300202,Botanas - Sabritas - Papas,Producto 27,44.39,01/06/2024,00:57:29,1,PZ
TIENDA 1,2133631,2100655,4204,Jugos - Jugo De Frutas,Producto 28,35.7,01/06/2024,00:57:29,1,PZ
TIENDA 1,2133631,3000071,600204,Refrescos - Coca Cola - Sabores,Producto 29,30.77,01/06/2024,00:57:29,2,PZ
TIENDA 1,2133631,2100641,4202,Jugos - Nectar,Producto 30,49.47,01/06/2024,00:57:29,1,PZ
TIENDA 1,2133631,4300951,8616,Comida Rapida - Roller,Producto 11,30.77,01/06/2024,00:57:29,1,PZ
TIENDA 1,2133631,4300951,8616,Comida Rapida - Roller,Producto 11,30.77,01/06/2024,00:57:29,1,PZ
TIENDA 1,2133632,2201012,440202,Lacteos y Embutidos - Lacteos - Bebible,Producto 31,32.64,01/06/2024,00:58:21,1,PZ
TIENDA 1,2133632,4300950,8616,Comida Rapida - Roller,Producto 32,30.77,01/06/2024,00:58:21,1,PZ
TIENDA 1,2133633,4101299,8202,Bebidas Calientes - Americano,Producto 33,23.75,01/06/2024,01:04:14,1,PZ
TIENDA 1,2133633,2500170,5002,Pan y Galletas - Pan,Producto 34,26.45,01/06/2024,01:04:14,1,PZ
TIENDA 1,2133634,1300007,260206,Agua - Natural - Ciel,Producto 35,35.7,01/06/2024,01:06:43,1,PZ
TIENDA 1,2133635,1500673,300212,Botanas - Sabritas - Extruidos,Producto 36,29.27,01/06/2024,01:15:05,1,PZ
TIENDA 1,2133635,1300094,260204,Agua - Natural - E Pura,Producto 37,19.89,01/06/2024,01:15:05,1,PZ
TIENDA 1,2133636,3499998,7004,Tabaco - Tabacos Pm,Producto 38,73.86,01/06/2024,01:19:44,1,PZ
TIENDA 1,2133636,2000000,4002,Hielo - Hielo,Producto 3,31.62,01/06/2024,01:19:44,1,PZ
TIENDA 1,2133637,3000037,600202,Refrescos - Coca Cola - Colas,Producto 39,21.54,01/06/2024,01:38:19,1,PZ
TIENDA 1,2133637,1300095,260204,Agua - Natural - E Pura,Producto 40,44.88,01/06/2024,01:38:19,1,PZ
TIENDA 1,2133638,3000700,600202,Refrescos - Coca Cola - Colas,Producto 41,23.75,01/06/2024,01:39:05,1,PZ
TIENDA 1,2133638,1502010,300412,Botanas - Barcel - Extruidos,Producto 42,43.44,01/06/2024,01:39:05,1,PZ
TIENDA 1,2133639,2500513,5002,Pan y Galletas - Pan,Producto 43,54.77,01/06/2024,01:40:57,1,PZ
TIENDA 1,2133639,3000221,600404,Refrescos - Pepsi - Sabores,Producto 44,14.95,01/06/2024,01:40:57,1,PZ
